Wall time,Step,Value
1778926271.693181,1,0.9074411392211914
1778926327.49002,2,0.8458066582679749
1778926384.113519,3,0.7832956314086914
1778926439.7243037,4,0.7223992943763733
1778926495.8821256,5,0.7054333090782166
1778926552.2135706,6,0.697038471698761
1778926608.625402,7,0.7123712301254272
1778926666.1511683,8,0.7028793096542358
1778926722.4250112,9,0.6880765557289124
1778926779.540505,10,0.6853064894676208
1778926836.5697339,11,0.6780655384063721
1778926892.150078,12,0.687893807888031
1778926947.3589408,13,0.6839361190795898
1778927003.4855545,14,0.6804097890853882
1778927060.9776611,15,0.6739315390586853
1778927117.9680526,16,0.6659486293792725
1778927174.5223672,17,0.6778126358985901
1778927230.2836313,18,0.6696743965148926
1778927285.9399009,19,0.6681719422340393
1778927342.7530138,20,0.6568505167961121
1778927398.3672764,21,0.6606634855270386
1778927454.9293103,22,0.6681238412857056
1778927511.062564,23,0.6683809757232666
1778927566.503123,24,0.6620379090309143
1778927622.8460767,25,0.6635067462921143
1778927678.1986387,26,0.6664178967475891
1778927734.7551267,27,0.6624020338058472
1778927792.0810983,28,0.6637510061264038
1778927848.057886,29,0.6640187501907349
1778927903.5258214,30,0.6616643667221069
1778927959.3262966,31,0.6620886325836182
1778928013.4675198,32,0.6611228585243225
1778928069.5892553,33,0.6645264625549316
1778928125.612958,34,0.6662030816078186
1778928181.2201655,35,0.6632751822471619
1778928237.0750256,36,0.6648774147033691
1778928291.60528,37,0.6633272171020508
1778928348.5943422,38,0.6628839373588562
1778928404.776107,39,0.6643286943435669
1778928460.2898164,40,0.6628790497779846
