Wall time,Step,Value
1778926271.6931489,1,0.08764633536338806
1778926327.4899905,2,0.07722514122724533
1778926384.1134915,3,0.07139304280281067
1778926439.724274,4,0.06777771562337875
1778926495.8820956,5,0.059697896242141724
1778926552.213513,6,0.057283028960227966
1778926608.6253693,7,0.054090116173028946
1778926666.1511378,8,0.05080464109778404
1778926722.4249818,9,0.04751582816243172
1778926779.540477,10,0.045389849692583084
1778926836.5697029,11,0.043645575642585754
1778926892.1500497,12,0.04196695238351822
1778926947.3589113,13,0.04026012867689133
1778927003.4854898,14,0.03722942993044853
1778927060.9776351,15,0.03545963391661644
1778927117.9680223,16,0.034227874130010605
1778927174.5223396,17,0.03278264030814171
1778927230.2836008,18,0.03200506791472435
1778927285.9398737,19,0.030596967786550522
1778927342.7529593,20,0.02883182093501091
1778927398.3672469,21,0.027787668630480766
1778927454.9292831,22,0.02721289172768593
1778927511.0625353,23,0.026054836809635162
1778927566.5030923,24,0.02439243346452713
1778927622.846045,25,0.02389856055378914
1778927678.1985784,26,0.02296488545835018
1778927734.755098,27,0.02224498987197876
1778927792.0810711,28,0.02181202918291092
1778927848.0578585,29,0.020843172445893288
1778927903.5257866,30,0.02010178007185459
1778927959.3262663,31,0.01962117664515972
1778928013.4674923,32,0.01900974102318287
1778928069.5892277,33,0.018599210307002068
1778928125.6129298,34,0.018286878243088722
1778928181.2201338,35,0.0179344043135643
1778928237.0749953,36,0.017576225101947784
1778928291.6052535,37,0.017381230369210243
1778928348.5943143,38,0.01722121238708496
1778928404.776079,39,0.01725783199071884
1778928460.2897885,40,0.01711779460310936
